# Tag,Time,Date,Action
0,1435277763,16:02.8,SeshStart
1304000026,1435277775,16:15.3,entry
0,1435277775,16:15.3,SeshEnd
0,1435277783,16:23.0,SeshStart
1304000026,1435277786,16:26.1,entry
1304000026,1435277788,16:27.6,exit
2015050115,1435277860,17:40.5,entry
2015050115,1435277861,17:41.4,exit
1304000026,1435277864,17:43.9,entry
1304000026,1435277865,17:44.9,exit
1312000377,1435278250,24:09.6,entry
1312000377,1435278251,24:10.6,exit
2015050115,1435278653,30:52.5,entry
2015050115,1435278654,30:53.6,exit
1312000300,1435278733,32:13.4,entry
1312000300,1435278735,32:15.0,exit
1312000377,1435278829,33:48.9,entry
1312000377,1435278832,33:52.0,exit
1312000377,1435279077,37:57.4,entry
1312000377,1435279081,38:01.4,exit
1302000245,1435279514,45:14.4,entry
1302000245,1435279515,45:15.5,exit
1302000245,1435279519,45:19.1,entry
1302000245,1435279523,45:22.8,exit
1302000245,1435279524,45:23.9,entry
1302000245,1435279527,45:26.6,exit
1302000245,1435279527,45:26.8,entry
1302000245,1435279528,45:28.1,exit
1302000245,1435279531,45:30.7,entry
1302000245,1435279533,45:32.9,exit
1302000245,1435279533,45:33.1,entry
1302000245,1435279535,45:34.7,exit
1302000245,1435279540,45:39.8,entry
1302000245,1435279546,45:45.8,exit
1302000245,1435279546,45:45.9,entry
1302000245,1435279547,45:47.3,exit
2015050115,1435279564,46:04.3,entry
2015050115,1435279565,46:05.3,exit
1302000245,1435279573,46:12.5,entry
1302000245,1435279574,46:13.5,exit
1302000245,1435279574,46:13.8,entry
1302000245,1435279577,46:17.2,exit
1302000245,1435279577,46:17.5,entry
1302000245,1435279580,46:20.0,exit
1302000245,1435279580,46:20.1,entry
1302000245,1435279583,46:22.9,exit
1302000245,1435279584,46:23.9,entry
1302000245,1435279586,46:25.5,exit
1302000245,1435279586,46:25.9,entry
1302000245,1435279593,46:33.3,exit
1302000245,1435279594,46:34.2,entry
1302000245,1435279596,46:35.7,exit
1312000300,1435279620,46:59.8,entry
1312000300,1435279622,47:02.2,exit
1302000245,1435279627,47:07.2,entry
1302000245,1435279628,47:08.2,exit
1302000245,1435279629,47:08.8,entry
1302000245,1435279644,47:23.7,exit
1312000377,1435279674,47:54.2,entry
1312000377,1435279676,47:55.6,exit
1302000245,1435279700,48:20.5,entry
1302000245,1435279701,48:21.5,exit
1302000245,1435279702,48:21.8,entry
1302000245,1435279703,48:23.1,exit
1302000245,1435279704,48:23.5,entry
1302000245,1435279706,48:26.3,exit
1302000245,1435279708,48:27.8,entry
1302000245,1435279709,48:28.9,exit
1302000245,1435279710,48:30.0,entry
1302000245,1435279719,48:39.0,exit
1302000245,1435279726,48:46.2,entry
1302000245,1435279728,48:48.4,exit
1302000245,1435279729,48:48.6,entry
1302000245,1435279739,48:59.2,exit
1302000245,1435279748,49:07.8,entry
1302000245,1435279749,49:08.8,exit
1302000245,1435279749,49:09.1,entry
1302000245,1435279750,2015-06-25 17:49,check+
1302000245,1435279751,49:10.6,reward0
1302000245,1435279757,49:16.9,reward1
1302000245,1435279763,49:23.2,reward2
1302000245,1435279770,49:29.5,reward3
1302000245,1435279776,49:35.9,reward4
1302000245,1435279776,49:36.0,complete
1302000245,1435279780,49:40.0,exit
2015050115,1435279780,49:40.4,entry
2015050115,1435279782,49:41.6,exit
2015050115,1435279782,49:42.1,entry
2015050115,1435279791,49:51.0,exit
2015050115,1435279853,50:52.7,entry
2015050115,1435279855,50:54.7,exit
2015050115,1435279864,51:04.3,entry
2015050115,1435279866,51:06.2,exit
2015050115,1435279875,51:15.2,entry
2015050115,1435279880,51:20.0,exit
2015050115,1435279908,51:48.0,entry
2015050115,1435279910,51:49.6,exit
2015050115,1435279910,51:50.1,entry
2015050115,1435279916,51:55.9,exit
2015050115,1435279922,52:02.5,entry
2015050115,1435279926,52:05.7,exit
2015050115,1435279939,52:19.1,entry
2015050115,1435279940,52:20.2,exit
2015050115,1435279955,52:35.0,entry
2015050115,1435279957,52:37.0,exit
2015050115,1435279975,52:55.4,entry
2015050115,1435279976,52:56.4,exit
2015050115,1435280009,53:28.6,entry
2015050115,1435280013,53:33.0,exit
2015050115,1435280016,53:36.1,entry
2015050115,1435280021,2015-06-25 17:53,check+
2015050115,1435280021,53:41.3,reward0
2015050115,1435280028,53:47.7,reward1
2015050115,1435280034,53:54.0,reward2
2015050115,1435280040,54:00.3,reward3
2015050115,1435280047,54:06.7,reward4
2015050115,1435280047,54:06.7,complete
2015050115,1435280052,54:12.2,exit
2015050115,1435280093,54:53.3,entry
2015050115,1435280094,54:54.3,exit
2015050115,1435280113,55:13.1,entry
2015050115,1435280114,55:14.1,exit
2015050115,1435280127,55:27.4,entry
2015050115,1435280133,55:32.6,exit
2015050115,1435280138,55:38.0,entry
2015050115,1435280141,55:41.5,exit
2015050115,1435280145,55:45.0,entry
2015050115,1435280148,55:47.5,exit
2015050115,1435280170,56:10.1,entry
2015050115,1435280171,56:11.0,exit
2015050115,1435280200,56:40.1,entry
2015050115,1435280201,56:41.0,exit
2015050115,1435280203,56:42.8,entry
2015050115,1435280209,2015-06-25 17:56,check+
2015050115,1435280210,56:50.1,reward0
2015050115,1435280216,56:56.4,reward1
2015050115,1435280223,57:02.7,reward2
2015050115,1435280229,57:09.1,reward3
2015050115,1435280235,57:15.4,reward4
2015050115,1435280235,57:15.5,complete
2015050115,1435280240,2015-06-25 17:57,check+
2015050115,1435280240,57:20.4,reward0
2015050115,1435280247,57:26.7,reward1
2015050115,1435280253,57:33.1,reward2
2015050115,1435280259,57:39.5,reward3
2015050115,1435280266,57:45.8,reward4
2015050115,1435280266,57:45.9,complete
2015050115,1435280272,57:51.7,exit
1312000377,1435280272,57:52.5,entry
1312000377,1435280278,57:57.7,exit
1312000377,1435280283,58:02.9,entry
1312000377,1435280287,58:06.5,exit
1302000245,1435280319,58:39.1,entry
1302000245,1435280320,58:40.0,exit
1302000245,1435280321,58:40.7,entry
1302000245,1435280332,58:51.8,exit
2015050115,1435280341,59:01.2,entry
2015050115,1435280342,59:02.2,exit
1302000245,1435280344,59:04.2,entry
1302000245,1435280345,59:05.2,exit
1302000245,1435280346,59:05.7,entry
1302000245,1435280347,59:06.7,exit
1302000245,1435280348,59:07.9,entry
1302000245,1435280352,59:11.6,exit
1302000245,1435280352,59:11.9,entry
1302000245,1435280366,59:26.4,exit
1312000300,1435280375,59:35.3,entry
1312000300,1435280376,59:36.5,exit
1312000300,1435280379,59:38.7,entry
1312000300,1435280383,59:42.5,exit
1312000300,1435280389,59:49.1,entry
1312000300,1435280394,59:54.0,exit
1302000245,1435280395,59:55.1,entry
1302000245,1435280398,59:57.7,exit
1302000245,1435280398,59:57.7,entry
1302000245,1435280407,00:07.0,exit
2015050115,1435280407,00:07.1,entry
2015050115,1435280408,00:08.1,exit
1302000245,1435280415,00:15.0,entry
1302000245,1435280427,00:27.3,exit
2015050115,1435280427,00:27.4,entry
2015050115,1435280428,00:28.4,exit
2015050115,1435280433,00:32.9,entry
2015050115,1435280434,00:33.8,exit
1302000245,1435280439,00:39.0,entry
1302000245,1435280456,00:55.7,exit
2015050115,1435280467,01:07.3,entry
2015050115,1435280469,01:08.6,exit
1302000245,1435280469,01:09.3,entry
1302000245,1435280470,01:10.5,exit
1302000245,1435280474,01:13.8,entry
1302000245,1435280485,01:25.0,exit
2015050115,1435280486,01:25.8,entry
2015050115,1435280490,01:30.3,exit
1302000245,1435280495,01:35.0,entry
1302000245,1435280506,01:46.0,exit
2015050115,1435280510,01:49.5,entry
2015050115,1435280512,01:51.5,exit
1302000245,1435280514,01:53.8,entry
1302000245,1435280515,01:55.0,exit
1302000245,1435280516,01:55.9,entry
1302000245,1435280517,01:56.8,exit
1302000245,1435280517,01:57.5,entry
1302000245,1435280529,02:09.3,exit
2015050115,1435280533,02:13.4,entry
2015050115,1435280534,02:14.4,exit
1302000245,1435280535,02:14.9,entry
1302000245,1435280538,02:18.3,exit
1302000245,1435280539,02:19.3,entry
1302000245,1435280551,02:31.0,exit
1312000300,1435280556,02:36.3,entry
1312000300,1435280559,02:39.4,exit
2015050115,1435280560,02:39.5,entry
2015050115,1435280561,02:40.5,exit
2015050115,1435280561,02:40.6,entry
2015050115,1435280566,2015-06-25 18:02,check+
2015050115,1435280567,02:46.7,reward0
2015050115,1435280573,02:53.1,reward1
2015050115,1435280579,02:59.4,reward2
2015050115,1435280586,03:05.7,reward3
2015050115,1435280592,03:12.1,reward4
2015050115,1435280592,03:12.2,complete
2015050115,1435280596,2015-06-25 18:03,check+
2015050115,1435280597,03:16.5,reward0
2015050115,1435280603,03:22.8,reward1
2015050115,1435280609,03:29.1,reward2
2015050115,1435280615,03:35.5,reward3
2015050115,1435280622,03:41.8,reward4
2015050115,1435280622,03:41.9,complete
2015050115,1435280626,2015-06-25 18:03,check+
2015050115,1435280627,03:47.2,reward0
2015050115,1435280634,03:53.6,reward1
2015050115,1435280640,03:59.9,reward2
2015050115,1435280646,04:06.2,reward3
2015050115,1435280653,04:12.6,reward4
2015050115,1435280653,04:12.7,complete
2015050115,1435280657,04:16.7,exit
2015050115,1435280657,04:16.8,entry
2015050115,1435280657,2015-06-25 18:04,check+
2015050115,1435280657,04:17.3,reward0
2015050115,1435280664,04:23.6,reward1
2015050115,1435280670,04:30.0,reward2
2015050115,1435280676,04:36.3,reward3
2015050115,1435280683,04:42.6,reward4
2015050115,1435280683,04:42.7,complete
2015050115,1435280687,04:46.8,exit
2015050115,1435280687,04:46.8,entry
2015050115,1435280687,2015-06-25 18:04,check+
2015050115,1435280687,04:47.4,reward0
2015050115,1435280694,04:53.7,reward1
2015050115,1435280700,05:00.0,reward2
2015050115,1435280706,05:06.4,reward3
2015050115,1435280713,05:12.7,reward4
2015050115,1435280713,05:12.8,complete
2015050115,1435280717,05:16.8,exit
2015050115,1435280717,05:16.9,entry
2015050115,1435280717,2015-06-25 18:05,check+
2015050115,1435280718,05:17.9,reward0
2015050115,1435280724,05:24.3,reward1
2015050115,1435280731,05:30.6,reward2
2015050115,1435280737,05:37.0,reward3
2015050115,1435280743,05:43.4,reward4
2015050115,1435280743,05:43.4,complete
2015050115,1435280747,05:47.5,exit
2015050115,1435280748,05:47.5,entry
2015050115,1435280747,2015-06-25 18:05,check+
2015050115,1435280748,05:48.0,reward0
2015050115,1435280754,05:54.4,reward1
2015050115,1435280761,06:00.7,reward2
2015050115,1435280767,06:07.1,reward3
2015050115,1435280773,06:13.5,reward4
2015050115,1435280774,06:13.6,complete
2015050115,1435280778,06:17.7,exit
2015050115,1435280778,06:17.7,entry
2015050115,1435280779,06:18.5,exit
1312000300,1435280779,06:18.7,entry
1312000300,1435280787,06:26.6,exit
1302000245,1435280787,06:26.9,entry
1302000245,1435280792,06:32.1,exit
1302000245,1435280793,06:33.4,entry
1302000245,1435280794,06:34.4,exit
1302000245,1435280795,06:35.2,entry
1302000245,1435280799,06:38.6,exit
1302000245,1435280799,06:39.4,entry
1302000245,1435280802,06:41.6,exit
1302000245,1435280802,06:41.7,entry
1302000245,1435280804,06:44.4,exit
1302000245,1435280805,06:45.3,entry
1302000245,1435280807,06:47.1,exit
1302000245,1435280808,06:48.0,entry
1302000245,1435280824,07:03.8,exit
1312000377,1435280828,07:07.5,entry
1312000377,1435280831,07:10.7,exit
1302000245,1435280831,07:10.9,entry
1302000245,1435280844,07:23.8,exit
1302000245,1435280844,07:23.9,entry
1302000245,1435280846,07:25.5,exit
1302000245,1435280847,07:26.9,entry
1302000245,1435280857,07:36.7,exit
1312000300,1435280858,07:38.1,entry
1312000300,1435280861,07:40.7,exit
1302000245,1435280862,07:42.1,entry
1302000245,1435280863,07:43.0,exit
1312000300,1435280863,07:43.0,entry
1312000300,1435280864,07:44.5,exit
1302000245,1435280865,07:44.5,entry
1302000245,1435280879,07:58.6,exit
1302000245,1435280879,07:59.1,entry
1302000245,1435280891,08:11.3,exit
1312000300,1435280892,08:11.5,entry
1312000300,1435280893,08:13.3,exit
1302000245,1435280901,08:21.2,entry
1302000245,1435280910,08:29.7,exit
1312000300,1435280910,08:30.3,entry
1312000300,1435280911,08:31.2,exit
1302000245,1435280915,08:35.1,entry
1302000245,1435280916,08:36.1,exit
1302000245,1435280917,08:37.2,entry
1302000245,1435280919,08:38.7,exit
1302000245,1435280919,08:39.0,entry
1302000245,1435280929,08:48.9,exit
1302000245,1435280929,08:49.3,entry
1302000245,1435280930,08:50.4,exit
1312000300,1435280931,08:50.9,entry
1312000300,1435280935,08:54.5,exit
1312000300,1435280935,08:54.9,entry
1312000300,1435280942,2015-06-25 18:09,check+
1312000300,1435280943,09:02.9,reward0
1312000300,1435280949,09:09.2,reward1
1312000300,1435280956,09:15.5,reward2
1312000300,1435280962,09:21.9,reward3
1312000300,1435280968,09:28.3,reward4
1312000300,1435280968,09:28.4,complete
1312000300,1435280973,2015-06-25 18:09,check+
1312000300,1435280973,09:33.4,reward0
1312000300,1435280980,09:39.7,reward1
1312000300,1435280986,09:46.1,reward2
1312000300,1435280992,09:52.4,reward3
1312000300,1435280999,09:58.8,reward4
1312000300,1435280999,09:59.2,complete
1312000300,1435281007,10:06.6,exit
1302000245,1435281012,10:11.6,entry
1302000245,1435281013,10:13.3,exit
1302000245,1435281014,10:13.5,entry
1302000245,1435281015,10:14.7,exit
1312000377,1435281015,10:15.0,entry
1312000377,1435281016,10:16.5,exit
1302000245,1435281017,10:16.8,entry
1302000245,1435281028,10:27.9,exit
1302000245,1435281028,10:28.2,entry
1302000245,1435281029,10:29.2,exit
1302000245,1435281030,10:29.7,entry
1302000245,1435281031,10:31.4,exit
1302000245,1435281032,10:32.1,entry
1302000245,1435281035,10:34.7,exit
1302000245,1435281035,10:35.0,entry
1302000245,1435281049,10:48.7,exit
2015050115,1435281049,10:48.7,entry
2015050115,1435281051,10:51.4,exit
1302000245,1435281051,10:51.4,entry
1302000245,1435281053,10:52.8,exit
1302000245,1435281053,10:52.9,entry
1302000245,1435281064,11:04.5,exit
1302000245,1435281067,11:07.4,entry
1302000245,1435281075,11:14.5,exit
1302000245,1435281075,11:14.8,entry
1302000245,1435281077,11:16.8,exit
1302000245,1435281081,11:21.2,entry
1302000245,1435281091,11:31.0,exit
1312000300,1435281091,11:31.3,entry
1312000300,1435281093,11:33.1,exit
1302000245,1435281102,11:41.9,entry
1302000245,1435281103,11:42.9,exit
1302000245,1435281104,11:43.9,entry
1302000245,1435281105,11:45.5,exit
1312000300,1435281106,11:45.6,entry
1312000300,1435281107,11:46.7,exit
1302000245,1435281108,11:47.7,entry
1302000245,1435281109,11:49.4,exit
1312000300,1435281110,11:50.2,entry
1312000300,1435281112,11:52.0,exit
1302000245,1435281112,11:52.2,entry
1302000245,1435281121,12:01.2,exit
1302000245,1435281123,12:03.0,entry
1302000245,1435281124,12:04.0,exit
1302000245,1435281125,12:04.8,entry
1302000245,1435281134,12:14.3,exit
1312000300,1435281135,12:14.6,entry
1312000300,1435281136,12:15.8,exit
2015050115,1435281136,12:15.9,entry
2015050115,1435281137,12:16.7,exit
1312000300,1435281137,12:16.8,entry
1312000300,1435281139,2015-06-25 18:12,check+
1312000300,1435281140,12:19.7,reward0
1312000300,1435281146,12:26.0,reward1
1312000300,1435281152,12:32.3,reward2
1312000300,1435281159,12:38.7,reward3
1312000300,1435281165,12:45.0,reward4
1312000300,1435281165,12:45.1,complete
1312000300,1435281170,12:50.3,exit
1312000300,1435281174,12:54.0,entry
1312000300,1435281175,2015-06-25 18:12,check+
1312000300,1435281176,12:56.0,reward0
1312000300,1435281182,13:02.3,reward1
1312000300,1435281189,13:08.6,reward2
1312000300,1435281195,13:14.9,reward3
1312000300,1435281201,13:21.3,reward4
1312000300,1435281201,13:21.4,complete
1312000300,1435281209,13:28.7,exit
2015050115,1435281209,13:28.9,entry
2015050115,1435281217,13:36.8,exit
1312000300,1435281217,13:37.2,entry
1312000300,1435281221,2015-06-25 18:13,check+
1312000300,1435281222,13:41.6,reward0
1312000300,1435281228,13:47.9,reward1
1312000300,1435281234,13:54.3,reward2
1312000300,1435281241,14:00.6,reward3
1312000300,1435281247,14:07.0,reward4
1312000300,1435281247,14:07.0,complete
1312000300,1435281252,14:12.4,exit
2015050115,1435281255,14:15.5,entry
2015050115,1435281258,14:18.5,exit
2015050115,1435281258,14:18.5,entry
2015050115,1435281265,2015-06-25 18:14,check+
