Tag,Time,Date,Action,Source
1412000238,1435559285.576289,2015-06-28 23:28:05.576289,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1412000238,1435559347.492968,2015-06-28 23:29:07.492968,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1412000238,1435559349.77895,2015-06-28 23:29:09.778950,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1412000238,1435559822.918928,2015-06-28 23:37:02.918928,entry,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
1412000238,1435559825.694648,2015-06-28 23:37:05.694648,exit,T:/AutoHeadFix/Unorganized pi181\0629 cage 2\headFixEP_0628_.txt
2015050115,1435560058.797483,2015-06-28 23:40:58.797483,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435560062.406729,2015-06-28 23:41:02.406729,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435560837.620063,2015-06-28 23:53:57.620063,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435560839.889786,2015-06-28 23:53:59.889786,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1302000245,1435561166.513744,2015-06-28 23:59:26.513744,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1302000245,1435561168.824323,2015-06-28 23:59:28.824323,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561171.902735,2015-06-28 23:59:31.902735,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561175.111593,2015-06-28 23:59:35.111593,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561190.264305,2015-06-28 23:59:50.264305,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561191.464129,2015-06-28 23:59:51.464129,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561194.868961,2015-06-28 23:59:54.868961,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
1312000377,1435561196.950846,2015-06-28 23:59:56.950846,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435561226.831064,2015-06-29 00:00:26.831064,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435561247.992194,2015-06-29 00:00:47.992194,exit,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
2015050115,1435561249.404124,2015-06-29 00:00:49.404124,entry,T:/AutoHeadFix/June 29\cage 1\0628headFix_EL.txt
